ID,Name,Description
S08_410,the harvest,
S08_420,the grain,
S08_430,the wheat,
S08_440,the barley,
S08_450,the rye,
S08_460,the oats,
S08_470,the maize/corn,
S08_480,the rice,
S08_510,the grass,
S08_520,the hay,
S08_530,the plant,
S08_531,to plant,
S08_540,the root,
S08_550,the branch,
S08_560,the leaf,
S08_570,the flower,
S08_600,the tree,
S08_610,the oak,
S08_620,the beech,
S08_630,the birch,
S08_640,the pine,
S08_660,the acorn,
S08_680,the tobacco,
S08_690,to smoke,
S08_691,the pipe,
S08_720,the tree stump,
S08_730,the tree trunk,
S08_750,the bark,
S08_760,the sap,
S08_810,the palm tree,
S08_820,the coconut,
S08_830,the citrus fruit,
S08_840,the banana,
S08_850,the banyan,
S08_910,the sweet potato,
S08_912,the yam,
S08_930,the gourd,
S08_931,the pumpkin or squash,
S08_940,the bamboo,
S08_941,the sugar cane,
S08_970,the nettle,
S08_980,the mushroom,
S09_110,to do,
S09_120,the work,
S09_140,to bend,
S09_150,to fold,
S09_160,to tie,
S09_161,to untie,
S09_180,the chain,
S09_190,the rope,
S09_192,the knot,
S09_210,to strike or hit or beat,
S09_211,to pound,
S09_220,to cut,
S09_221,to cut down,
S09_222,to chop,
S09_223,to stab,
S09_230,the knife(2),
S09_240,the scissors or shears,
S09_250,the axe/ax,
S09_251,the adze,
S09_260,to break,
S09_261,broken,
S09_270,to split,
S09_280,to tear,
S09_290,to skin,
S09_310,to rub,
S09_320,to stretch,
S09_330,to pull,
S09_340,to spread out,
S09_341,to hang up,
S09_342,to press,
S09_343,to squeeze,
S09_350,to pour,
S09_360,to wash,
S09_370,to sweep,
S09_380,the broom,
S09_422,the tool,
S09_430,the carpenter,
S09_440,to build,
S09_460,to bore,
S09_461,to hollow out,
S09_480,the saw,
S09_490,the hammer,
S09_500,the nail,
S09_560,the glue,
S09_600,the blacksmith,
S09_620,the anvil,
S09_630,to cast,
S09_640,the gold,
S09_650,the silver,
S09_660,the copper,
S09_670,the iron,
S09_680,the lead,
S09_690,the tin or tinplate,
S09_710,the potter,
S09_730,the clay,
S09_740,the glass,
S09_750,to weave or plait/braid,
S09_760,the basket,
S09_770,the mat,
S09_771,the rug,
S09_780,the netbag,
S09_790,the fan,
S09_791,to fan,
S09_810,to carve,
S09_820,the sculptor,
S09_830,the statue,
S09_840,the chisel,
S09_880,the paint,
S09_890,to paint,
S10_110,to move,
S10_120,to turn,
S10_130,to turn around,
S10_140,to wrap,
S10_150,to roll,
S10_160,to drop,
S10_170,to twist,
S10_210,to rise,
S10_220,to raise or lift,
S10_230,to fall,
S10_240,to drip,
S10_250,to throw,
S10_252,to catch,
S10_260,to shake,
S10_320,to flow,
S10_330,to sink,
S10_340,to float,
S10_350,to swim,
S10_351,to dive,
S10_352,to splash,
S10_360,to sail,
S10_370,to fly,
S10_380,to blow,
S10_410,to crawl,
S10_412,to kneel,
S10_413,to crouch,
S10_420,to slide or slip,
S10_430,to jump,
S10_431,to kick,
S10_440,to dance,
S10_450,to walk,
S10_451,to limp,
S10_460,to run,
S10_470,to go,
S10_471,to go up,
S10_472,to climb,
S10_473,to go down,
S10_474,to go out,
S10_480,to come,
S10_481,to come back,
S10_490,to leave,
S10_491,to disappear,
S10_510,to flee,
S10_520,to follow,
S10_530,to pursue,
S10_550,to arrive,
S10_560,to approach,
S10_570,to enter,
S10_610,to carry,
S10_612,to carry in hand,
S10_613,to carry on shoulder,
S10_614,to carry on head,
S10_615,to carry under the arm,
S10_620,to bring,
S10_630,to send,
S10_640,to lead,
S10_650,to drive,
S10_660,to ride,
S10_670,to push,
S10_710,the road,
S10_720,the path,
S10_740,the bridge,
S10_750,the cart or wagon,
S10_760,the wheel,
S10_770,the axle,
S10_780,the yoke,
S10_810,the ship,
S10_830,the boat,
S10_831,the canoe,
S10_840,the raft,
